Vin, Vout, TC, Iin, Iout
+4.00393300E+01, +4.99141570E+00, +3.14480000E+01, +1.35290500E-02, +8.56234200E-02
+4.00391990E+01, +4.99149410E+00, +3.15540000E+01, +1.36848100E-02, +8.66574700E-02
+4.00394600E+01, +4.99112840E+00, +3.16700000E+01, +1.38536600E-02, +8.76797400E-02
+4.00394600E+01, +4.99051470E+00, +3.17920000E+01, +1.40107300E-02, +8.87308100E-02
+4.00393300E+01, +4.98839930E+00, +3.18870000E+01, +1.41717300E-02, +8.97295200E-02
+4.00399820E+01, +4.98997930E+00, +3.20090000E+01, +1.43301100E-02, +9.07596400E-02
+4.00408960E+01, +4.99007070E+00, +3.21270000E+01, +1.44845600E-02, +9.17753700E-02
+4.00406350E+01, +4.98939170E+00, +3.22440000E+01, +1.46534100E-02, +9.28212000E-02
+4.00394600E+01, +4.98945700E+00, +3.23630000E+01, +1.48131000E-02, +9.38133600E-02
+4.00382860E+01, +4.98903910E+00, +3.24960000E+01, +1.49754100E-02, +9.48487200E-02
+4.00385470E+01, +4.98832090E+00, +3.26180000E+01, +1.51377200E-02, +9.59024100E-02
+4.00388080E+01, +4.98849070E+00, +3.27250000E+01, +1.52987100E-02, +9.69299100E-02
+4.00385470E+01, +4.98815120E+00, +3.28610000E+01, +1.54479300E-02, +9.79364800E-02
+4.00378940E+01, +4.98782470E+00, +3.29450000E+01, +1.56154700E-02, +9.89495800E-02
+4.00377640E+01, +4.98755050E+00, +3.30870000E+01, +1.57699300E-02, +1.00000650E-01
+4.00394600E+01, +4.98713260E+00, +3.32260000E+01, +1.59335400E-02, +1.01042550E-01
+4.00382860E+01, +4.98743300E+00, +3.33420000E+01, +1.60906100E-02, +1.02087080E-01
+4.00389380E+01, +4.98585290E+00, +3.34550000E+01, +1.62489900E-02, +1.03081860E-01
+4.00388080E+01, +4.98599660E+00, +3.35560000E+01, +1.64099900E-02, +1.04118530E-01
+4.00381550E+01, +4.98568320E+00, +3.36780000E+01, +1.65788400E-02, +1.05152600E-01
+4.00401130E+01, +4.98475610E+00, +3.37820000E+01, +1.67306800E-02, +1.06184030E-01
+4.00391990E+01, +4.98499110E+00, +3.39140000E+01, +1.68825100E-02, +1.07180120E-01
+4.00378940E+01, +4.98458630E+00, +3.40370000E+01, +1.70474400E-02, +1.08220720E-01
+4.00380250E+01, +4.98491280E+00, +3.41630000E+01, +1.72176000E-02, +1.09269170E-01
+4.00375020E+01, +4.98184410E+00, +3.42890000E+01, +1.73602700E-02, +1.10290130E-01
+4.00375020E+01, +4.98406400E+00, +3.44220000E+01, +1.75382800E-02, +1.11320250E-01
+4.00381550E+01, +4.98458630E+00, +3.45510000E+01, +1.76901200E-02, +1.12307180E-01
+4.00381550E+01, +4.98450800E+00, +3.46930000E+01, +1.78458800E-02, +1.13342540E-01
+4.00373720E+01, +4.98445570E+00, +3.48290000E+01, +1.80121200E-02, +1.14373970E-01
+4.00391990E+01, +4.98454710E+00, +3.49770000E+01, +1.81835800E-02, +1.15444680E-01
+4.00380250E+01, +4.98488660E+00, +3.51220000E+01, +1.83406600E-02, +1.16430310E-01
+4.00376330E+01, +4.98492580E+00, +3.52850000E+01, +1.85108200E-02, +1.17451270E-01
+4.00380250E+01, +4.98624470E+00, +3.54570000E+01, +1.86731200E-02, +1.18499720E-01
+4.00381550E+01, +4.98381590E+00, +3.55500000E+01, +1.88341200E-02, +1.19527220E-01
+4.00395910E+01, +4.98457320E+00, +3.56940000E+01, +1.89964300E-02, +1.20532480E-01
+4.00365890E+01, +4.98501720E+00, +3.58150000E+01, +1.91587300E-02, +1.21565220E-01
+4.00377640E+01, +4.98521310E+00, +3.59880000E+01, +1.93171100E-02, +1.22605810E-01
+4.00372410E+01, +4.98542200E+00, +3.61190000E+01, +1.94898900E-02, +1.23626770E-01
+4.00371110E+01, +4.98586600E+00, +3.62340000E+01, +1.96443400E-02, +1.24659520E-01
+4.00380250E+01, +4.98631000E+00, +3.64250000E+01, +1.98132000E-02, +1.25672620E-01
+4.00381550E+01, +4.98484750E+00, +3.65470000E+01, +1.99807400E-02, +1.26701470E-01
+4.00368500E+01, +4.98406400E+00, +3.66460000E+01, +2.01456600E-02, +1.27723740E-01
+4.00376330E+01, +4.98359390E+00, +3.67160000E+01, +2.02831000E-02, +1.28777420E-01
+4.00371110E+01, +4.98380280E+00, +3.68370000E+01, +2.04362400E-02, +1.29772210E-01
+4.00382860E+01, +4.98522610E+00, +3.70110000E+01, +2.06142600E-02, +1.30812800E-01
+4.00384160E+01, +4.98553950E+00, +3.71800000E+01, +2.07765600E-02, +1.31848160E-01
+4.00385470E+01, +4.98570930E+00, +3.73170000E+01, +2.09414900E-02, +1.32867810E-01
+4.00382860E+01, +4.98607490E+00, +3.74660000E+01, +2.11195200E-02, +1.33897940E-01
+4.00352840E+01, +4.98621860E+00, +3.76030000E+01, +2.12844500E-02, +1.34912350E-01
+4.00371110E+01, +4.98324130E+00, +3.77650000E+01, +2.14310500E-02, +1.35943790E-01
+4.00364580E+01, +4.98237950E+00, +3.78460000E+01, +2.15763400E-02, +1.36990950E-01
+4.00365890E+01, +4.98343720E+00, +3.79580000E+01, +2.17517300E-02, +1.38017140E-01
+4.00365890E+01, +4.98419460E+00, +3.81080000E+01, +2.19061900E-02, +1.39011930E-01
+4.00361970E+01, +4.98414230E+00, +3.82600000E+01, +2.20737300E-02, +1.40040740E-01
+4.00368500E+01, +4.98330660E+00, +3.84040000E+01, +2.22229500E-02, +1.41095740E-01
+4.00378940E+01, +4.98385500E+00, +3.85250000E+01, +2.23865600E-02, +1.42118010E-01
+4.00371110E+01, +4.98351550E+00, +3.86770000E+01, +2.25593400E-02, +1.43120640E-01
+4.00371110E+01, +4.98365920E+00, +3.87860000E+01, +2.27085600E-02, +1.44165160E-01
+4.00363280E+01, +4.98355470E+00, +3.89230000E+01, +2.28826400E-02, +1.45195290E-01
+4.00380250E+01, +4.98412930E+00, +3.90680000E+01, +2.30357900E-02, +1.46228030E-01
+4.00376330E+01, +4.97902350E+00, +3.92380000E+01, +2.31758400E-02, +1.47275180E-01
+4.00352840E+01, +4.97978090E+00, +3.93160000E+01, +2.33355300E-02, +1.48264730E-01
+4.00359360E+01, +4.98040770E+00, +3.94980000E+01, +2.35096200E-02, +1.49294850E-01
+4.00367190E+01, +4.98040770E+00, +3.96520000E+01, +2.36693100E-02, +1.50340680E-01
+4.00371110E+01, +4.98089080E+00, +3.97780000E+01, +2.38263800E-02, +1.51372110E-01
+4.00363280E+01, +4.98142620E+00, +3.99350000E+01, +2.39926100E-02, +1.52368210E-01
+4.00367190E+01, +4.98062970E+00, +4.00460000E+01, +2.41379000E-02, +1.53394400E-01
+4.00368500E+01, +4.98128260E+00, +4.02210000E+01, +2.43159200E-02, +1.54436310E-01
+4.00367190E+01, +4.98130870E+00, +4.03870000E+01, +2.44782200E-02, +1.55470360E-01
+4.00368500E+01, +4.98163520E+00, +4.05180000E+01, +2.46339900E-02, +1.56497860E-01
+4.00376330E+01, +4.98126950E+00, +4.06520000E+01, +2.48054600E-02, +1.57501830E-01
+4.00371110E+01, +4.98117810E+00, +4.08180000E+01, +2.49638300E-02, +1.58526720E-01
+4.00367190E+01, +4.98171350E+00, +4.09110000E+01, +2.51104300E-02, +1.59575170E-01
+4.00369800E+01, +4.97978090E+00, +4.10060000E+01, +2.52740500E-02, +1.60614450E-01
+4.00347610E+01, +4.98096920E+00, +4.11570000E+01, +2.54271900E-02, +1.61597460E-01
+4.00356750E+01, +4.98115200E+00, +4.13480000E+01, +2.56156800E-02, +1.62652450E-01
+4.00347610E+01, +4.98096920E+00, +4.14920000E+01, +2.57701300E-02, +1.63648540E-01
+4.00352840E+01, +4.98093000E+00, +4.16640000E+01, +2.59245900E-02, +1.64683900E-01
+4.00356750E+01, +4.98056440E+00, +4.18020000E+01, +2.60947500E-02, +1.65677370E-01
+4.00354140E+01, +4.98065580E+00, +4.19460000E+01, +2.62570500E-02, +1.66725820E-01
+4.00351530E+01, +4.98051220E+00, +4.21050000E+01, +2.64193600E-02, +1.67758560E-01
+4.00359360E+01, +4.98009430E+00, +4.22390000E+01, +2.65829800E-02, +1.68791320E-01
+4.00359360E+01, +4.98022490E+00, +4.23760000E+01, +2.67361200E-02, +1.69826680E-01
+4.00369800E+01, +4.98030320E+00, +4.25550000E+01, +2.69075900E-02, +1.70826690E-01
+4.00355450E+01, +4.98013350E+00, +4.27270000E+01, +2.70790600E-02, +1.71871220E-01
+4.00363280E+01, +4.97978090E+00, +4.28810000E+01, +2.72413600E-02, +1.72907890E-01
+4.00351530E+01, +4.97788750E+00, +4.30760000E+01, +2.73892700E-02, +1.73913140E-01
+4.00338480E+01, +4.97681670E+00, +4.31710000E+01, +2.75581200E-02, +1.74919700E-01
+4.00341090E+01, +4.98057750E+00, +4.33110000E+01, +2.77125800E-02, +1.75949830E-01
+4.00351530E+01, +4.98061660E+00, +4.34590000E+01, +2.78879700E-02, +1.76996970E-01
+4.00339780E+01, +4.98057750E+00, +4.36500000E+01, +2.80450400E-02, +1.78045420E-01
+4.00341090E+01, +4.98044690E+00, +4.37950000E+01, +2.82073500E-02, +1.79017980E-01
+4.00341090E+01, +4.98023790E+00, +4.39610000E+01, +2.83762000E-02, +1.80053340E-01
+4.00352840E+01, +4.97998980E+00, +4.40950000E+01, +2.85437400E-02, +1.81099170E-01
+4.00345000E+01, +4.97978090E+00, +4.42380000E+01, +2.87126000E-02, +1.82120130E-01
+4.00350230E+01, +4.97961120E+00, +4.44330000E+01, +2.88644300E-02, +1.83180360E-01
+4.00363280E+01, +4.97953280E+00, +4.45510000E+01, +2.90241200E-02, +1.84163360E-01
+4.00345000E+01, +4.97962420E+00, +4.47210000E+01, +2.92047500E-02, +1.85205260E-01
+4.00341090E+01, +4.97885380E+00, +4.48580000E+01, +2.93592000E-02, +1.86245860E-01
+4.00351530E+01, +4.97839670E+00, +4.50590000E+01, +2.95280600E-02, +1.87283840E-01
+4.00335870E+01, +4.97927160E+00, +4.51520000E+01, +2.96877400E-02, +1.88278620E-01
