Vin, Vout, Iin, Iout
+4.00365890E+01, +4.97622910E+00, +4.88975500E-02, +3.08466970E-01
+4.00384160E+01, +4.97675140E+00, +4.90899600E-02, +3.09494470E-01
+4.00376330E+01, +4.97729990E+00, +4.92588100E-02, +3.10542920E-01
+4.00381550E+01, +4.97760020E+00, +4.94420600E-02, +3.11548180E-01
+4.00377640E+01, +4.97846200E+00, +4.96004400E-02, +3.12567830E-01
+4.00354140E+01, +4.97916720E+00, +4.97810700E-02, +3.13582250E-01
+4.00363280E+01, +4.98040770E+00, +4.99643200E-02, +3.14597980E-01
+4.00364580E+01, +4.98162210E+00, +5.01475700E-02, +3.15635960E-01
+4.00359360E+01, +4.98347640E+00, +5.03465300E-02, +3.16651690E-01
+4.00363280E+01, +4.98544810E+00, +5.05585700E-02, +3.17650400E-01
+4.00364580E+01, +4.98949620E+00, +5.08426100E-02, +3.18688370E-01
+4.00368500E+01, +4.99593380E+00, +5.09564800E-02, +3.19693630E-01
+4.00364580E+01, +4.99165080E+00, +5.11017800E-02, +3.20736840E-01
+4.00373720E+01, +4.98950920E+00, +5.12143400E-02, +3.21727700E-01
+4.00367190E+01, +4.98657110E+00, +5.13491600E-02, +3.22755200E-01
+4.00359360E+01, +4.98427290E+00, +5.14669700E-02, +3.23776160E-01
+4.00377640E+01, +4.98202690E+00, +5.16004800E-02, +3.24784040E-01
+4.00342390E+01, +4.97992450E+00, +5.17457700E-02, +3.25823350E-01
+4.00361970E+01, +4.97736520E+00, +5.18727300E-02, +3.26798500E-01
+4.00364580E+01, +4.97568070E+00, +5.19983900E-02, +3.27833860E-01
+4.00360670E+01, +4.96065070E+00, +5.20088600E-02, +3.28844350E-01
+4.00354140E+01, +4.95685080E+00, +5.21358300E-02, +3.29848300E-01
+4.00355450E+01, +4.95293340E+00, +5.22248300E-02, +3.30841770E-01
+4.00360670E+01, +4.95036090E+00, +5.23635800E-02, +3.31871890E-01
+4.00355450E+01, +4.94470680E+00, +5.23662000E-02, +3.32909870E-01
+4.00361970E+01, +4.92716950E+00, +5.24853200E-02, +3.33938690E-01
+4.00365890E+01, +4.92312150E+00, +5.25285100E-02, +3.34923000E-01
+4.00377640E+01, +4.91369350E+00, +5.26764200E-02, +3.35966230E-01
+4.00367190E+01, +4.91366740E+00, +5.28230200E-02, +3.37010750E-01
+4.00355450E+01, +4.91361510E+00, +5.29709300E-02, +3.38055280E-01
+4.00346310E+01, +4.91357600E+00, +5.31109900E-02, +3.39112890E-01
+4.00350230E+01, +4.91360210E+00, +5.32641300E-02, +3.40099820E-01
+4.00352840E+01, +4.91366740E+00, +5.34107300E-02, +3.41133870E-01
+4.00359360E+01, +4.91365430E+00, +5.35691100E-02, +3.42195400E-01
+4.00359360E+01, +4.91370650E+00, +5.37091600E-02, +3.43239930E-01
+4.00373720E+01, +4.91382410E+00, +5.38544500E-02, +3.44249110E-01
+4.00350230E+01, +4.91375880E+00, +5.39932000E-02, +3.45297560E-01
+4.00355450E+01, +4.91388940E+00, +5.41555100E-02, +3.46335550E-01
+4.00356750E+01, +4.91379800E+00, +5.43008000E-02, +3.47385310E-01
+4.00358060E+01, +4.91369350E+00, +5.44408500E-02, +3.48419360E-01
+4.00339780E+01, +4.91398080E+00, +5.45835300E-02, +3.49424620E-01
+4.00338480E+01, +4.91386320E+00, +5.47419100E-02, +3.50480920E-01
+4.00355450E+01, +4.91401990E+00, +5.48832700E-02, +3.51516280E-01
+4.00342390E+01, +4.91412440E+00, +5.50455800E-02, +3.52564730E-01
