Vin, Vout, TC, Iin, Iout
+4.50408700E+01, +4.93247130E+00, +9.56200000E+01, +6.99987500E-02, +5.00919930E-01
+4.50389120E+01, +4.93221010E+00, +9.56980000E+01, +6.99974400E-02, +5.00921240E-01
+4.50395650E+01, +4.93221010E+00, +9.56660000E+01, +6.99882800E-02, +5.00923860E-01
+4.50386510E+01, +4.93227540E+00, +9.55940000E+01, +6.99961400E-02, +5.00912080E-01
+4.50399560E+01, +4.93232760E+00, +9.56980000E+01, +6.99987500E-02, +5.00921240E-01
+4.50404780E+01, +4.93210570E+00, +9.56950000E+01, +6.99869700E-02, +5.00909460E-01
+4.50400870E+01, +4.93205340E+00, +9.56790000E+01, +6.99974400E-02, +5.00919930E-01
+4.50415230E+01, +4.93213180E+00, +9.56290000E+01, +6.99817400E-02, +5.00908150E-01
+4.50394340E+01, +4.93215790E+00, +9.54580000E+01, +6.99725800E-02, +5.00917310E-01
+4.50407390E+01, +4.93193590E+00, +9.54680000E+01, +6.99869700E-02, +5.00902910E-01
+4.50398260E+01, +4.93210570E+00, +9.54930000E+01, +6.99869700E-02, +5.00910770E-01
+4.50403480E+01, +4.93213180E+00, +9.55590000E+01, +6.99843600E-02, +5.00910770E-01
+4.50416530E+01, +4.93211870E+00, +9.54990000E+01, +6.99843600E-02, +5.00916000E-01
+4.50408700E+01, +4.93217100E+00, +9.54860000E+01, +6.99843600E-02, +5.00916000E-01
+4.50411310E+01, +4.93209260E+00, +9.54800000E+01, +6.99830500E-02, +5.00919930E-01
+4.50396950E+01, +4.93194900E+00, +9.54620000E+01, +6.99856600E-02, +5.00909460E-01
+4.50420450E+01, +4.93204040E+00, +9.54450000E+01, +6.99843600E-02, +5.00919930E-01
+4.50402170E+01, +4.93215790E+00, +9.54810000E+01, +6.99804300E-02, +5.00906840E-01
+4.50411310E+01, +4.93217100E+00, +9.55560000E+01, +6.99895900E-02, +5.00905530E-01
+4.50382600E+01, +4.93207950E+00, +9.56350000E+01, +6.99961400E-02, +5.00918620E-01
+4.50404780E+01, +4.93235380E+00, +9.57330000E+01, +6.99895900E-02, +5.00914690E-01
+4.50420450E+01, +4.93214480E+00, +9.56930000E+01, +6.99856600E-02, +5.00906840E-01
+4.50402170E+01, +4.93219710E+00, +9.57930000E+01, +6.99830500E-02, +5.00923860E-01
+4.50408700E+01, +4.93221010E+00, +9.57520000E+01, +6.99804300E-02, +5.00913390E-01
+4.50398260E+01, +4.93211870E+00, +9.57140000E+01, +6.99987500E-02, +5.00896370E-01
+4.50416530E+01, +4.93226240E+00, +9.56350000E+01, +6.99882800E-02, +5.00910770E-01
+4.50393040E+01, +4.93219710E+00, +9.55430000E+01, +6.99843600E-02, +5.00905530E-01
+4.50411310E+01, +4.93234070E+00, +9.56290000E+01, +6.99830500E-02, +5.00914690E-01
+4.50387820E+01, +4.93234070E+00, +9.56380000E+01, +6.99895900E-02, +5.00901610E-01
+4.50403480E+01, +4.93241910E+00, +9.56570000E+01, +6.99935200E-02, +5.00916000E-01
+4.50416530E+01, +4.93217100E+00, +9.56980000E+01, +6.99856600E-02, +5.00908150E-01
+4.50400870E+01, +4.93232760E+00, +9.57330000E+01, +6.99961400E-02, +5.00908150E-01
+4.50421750E+01, +4.93232760E+00, +9.58400000E+01, +6.99961400E-02, +5.00893750E-01
+4.50412620E+01, +4.93236680E+00, +9.57770000E+01, +6.99935200E-02, +5.00908150E-01
+4.50416530E+01, +4.93241910E+00, +9.57490000E+01, +6.99987500E-02, +5.00913390E-01
+4.50410010E+01, +4.93224930E+00, +9.56030000E+01, +6.99869700E-02, +5.00910770E-01
+4.50416530E+01, +4.93227540E+00, +9.55780000E+01, +6.99738800E-02, +5.00905530E-01
+4.50389120E+01, +4.93223620E+00, +9.56540000E+01, +6.99935200E-02, +5.00909460E-01
+4.50408700E+01, +4.93222320E+00, +9.56220000E+01, +6.99869700E-02, +5.00908150E-01
+4.50419140E+01, +4.93217100E+00, +9.57480000E+01, +6.99817400E-02, +5.00902910E-01
+4.50402170E+01, +4.93210570E+00, +9.55940000E+01, +6.99830500E-02, +5.00912080E-01
+4.50410010E+01, +4.93236680E+00, +9.55150000E+01, +6.99922100E-02, +5.00892440E-01
+4.50395650E+01, +4.93222320E+00, +9.55370000E+01, +6.99817400E-02, +5.00892440E-01
+4.50406090E+01, +4.93218400E+00, +9.55620000E+01, +6.99935200E-02, +5.00906840E-01
+4.50393040E+01, +4.93196200E+00, +9.55530000E+01, +6.99961400E-02, +5.00912080E-01
+4.50399560E+01, +4.93196200E+00, +9.56180000E+01, +6.99830500E-02, +5.00904220E-01
+4.50419140E+01, +4.93217100E+00, +9.56220000E+01, +6.99987500E-02, +5.00893750E-01
+4.50400870E+01, +4.93224930E+00, +9.54630000E+01, +6.99869700E-02, +5.00898990E-01
+4.50411310E+01, +4.93200120E+00, +9.55360000E+01, +6.99830500E-02, +5.00896370E-01
+4.50396950E+01, +4.93223620E+00, +9.54860000E+01, +6.99869700E-02, +5.00902910E-01
+4.50412620E+01, +4.93188370E+00, +9.55480000E+01, +6.99804300E-02, +5.00917310E-01
+4.50396950E+01, +4.93204040E+00, +9.56100000E+01, +6.99856600E-02, +5.00910770E-01
+4.50407390E+01, +4.93222320E+00, +9.57090000E+01, +6.99856600E-02, +5.00908150E-01
+4.50383900E+01, +4.93226240E+00, +9.57430000E+01, +6.99974400E-02, +5.00902910E-01
+4.50387820E+01, +4.93219710E+00, +9.56800000E+01, +6.99804300E-02, +5.00902910E-01
+4.50406090E+01, +4.93232760E+00, +9.55920000E+01, +6.99765000E-02, +5.00916000E-01
+4.50393040E+01, +4.93222320E+00, +9.55920000E+01, +6.99922100E-02, +5.00905530E-01
+4.50408700E+01, +4.93218400E+00, +9.56200000E+01, +6.99948300E-02, +5.00905530E-01
+4.50396950E+01, +4.93219710E+00, +9.56610000E+01, +6.99751900E-02, +5.00906840E-01
+4.50403480E+01, +4.93215790E+00, +9.56640000E+01, +6.99869700E-02, +5.00905530E-01
+4.50385210E+01, +4.93226240E+00, +9.56360000E+01, +7.00000600E-02, +5.00900300E-01
+4.50398260E+01, +4.93221010E+00, +9.56140000E+01, +6.99882800E-02, +5.00906840E-01
+4.50417840E+01, +4.93215790E+00, +9.55850000E+01, +6.99922100E-02, +5.00914690E-01
+4.50394340E+01, +4.93228850E+00, +9.56770000E+01, +7.00000600E-02, +5.00918620E-01
+4.50402170E+01, +4.93226240E+00, +9.57490000E+01, +6.99948300E-02, +5.00910770E-01
+4.50399560E+01, +4.93209260E+00, +9.57210000E+01, +6.99882800E-02, +5.00898990E-01
+4.50403480E+01, +4.93219710E+00, +9.56070000E+01, +6.99922100E-02, +5.00902910E-01
+4.50394340E+01, +4.93230150E+00, +9.56140000E+01, +6.99987500E-02, +5.00905530E-01
+4.50408700E+01, +4.93223620E+00, +9.55880000E+01, +6.99922100E-02, +5.00905530E-01
+4.50378680E+01, +4.93219710E+00, +9.55700000E+01, +6.99948300E-02, +5.00916000E-01
+4.50413920E+01, +4.93213180E+00, +9.55220000E+01, +6.99830500E-02, +5.00904220E-01
+4.50419140E+01, +4.93239290E+00, +9.55130000E+01, +6.99869700E-02, +5.00913390E-01
+4.50395650E+01, +4.93200120E+00, +9.55130000E+01, +6.99909000E-02, +5.00914690E-01
+4.50421750E+01, +4.93227540E+00, +9.55220000E+01, +6.99948300E-02, +5.00906840E-01
+4.50387820E+01, +4.93222320E+00, +9.55570000E+01, +6.99882800E-02, +5.00909460E-01
+4.50408700E+01, +4.93214480E+00, +9.56290000E+01, +6.99791200E-02, +5.00901610E-01
+4.50400870E+01, +4.93237990E+00, +9.56520000E+01, +6.99935200E-02, +5.00909460E-01
+4.50412620E+01, +4.93243210E+00, +9.56960000E+01, +6.99987500E-02, +5.00910770E-01
+4.50417840E+01, +4.93237990E+00, +9.57870000E+01, +6.99922100E-02, +5.00916000E-01
+4.50395650E+01, +4.93221010E+00, +9.56930000E+01, +6.99751900E-02, +5.00914690E-01
+4.50411310E+01, +4.93252350E+00, +9.56960000E+01, +6.99922100E-02, +5.00913390E-01
+4.50406090E+01, +4.93235380E+00, +9.56360000E+01, +6.99804300E-02, +5.00921240E-01
+4.50410010E+01, +4.93223620E+00, +9.56360000E+01, +6.99895900E-02, +5.00913390E-01
+4.50395650E+01, +4.93215790E+00, +9.55440000E+01, +6.99791200E-02, +5.00923860E-01
+4.50403480E+01, +4.93236680E+00, +9.56110000E+01, +6.99882800E-02, +5.00918620E-01
+4.50412620E+01, +4.93217100E+00, +9.54620000E+01, +6.99765000E-02, +5.00909460E-01
+4.50402170E+01, +4.93202730E+00, +9.55000000E+01, +6.99935200E-02, +5.00927780E-01
+4.50402170E+01, +4.93240600E+00, +9.55950000E+01, +6.99922100E-02, +5.00918620E-01
+4.50399560E+01, +4.93207950E+00, +9.56520000E+01, +6.99935200E-02, +5.00923860E-01
+4.50406090E+01, +4.93228850E+00, +9.56260000E+01, +6.99922100E-02, +5.00913390E-01
+4.50393040E+01, +4.93205340E+00, +9.55600000E+01, +6.99882800E-02, +5.00908150E-01
+4.50398260E+01, +4.93201430E+00, +9.54870000E+01, +6.99856600E-02, +5.00913390E-01
+4.50404780E+01, +4.93222320E+00, +9.54460000E+01, +6.99987500E-02, +5.00923860E-01
+4.50396950E+01, +4.93211870E+00, +9.54650000E+01, +6.99909000E-02, +5.00908150E-01
+4.50403480E+01, +4.93217100E+00, +9.54870000E+01, +6.99882800E-02, +5.00914690E-01
+4.50417840E+01, +4.93217100E+00, +9.55440000E+01, +6.99922100E-02, +5.00916000E-01
+4.50411310E+01, +4.93200120E+00, +9.56550000E+01, +6.99922100E-02, +5.00912080E-01
+4.50400870E+01, +4.93206650E+00, +9.56610000E+01, +6.99922100E-02, +5.00901610E-01
+4.50372150E+01, +4.93219710E+00, +9.56740000E+01, +6.99974400E-02, +5.00922550E-01
+4.50399560E+01, +4.93184450E+00, +9.55630000E+01, +6.99869700E-02, +5.00904220E-01
+4.50396950E+01, +4.93224930E+00, +9.55350000E+01, +6.99843600E-02, +5.00908150E-01
+4.50412620E+01, +4.93213180E+00, +9.55600000E+01, +6.99974400E-02, +5.00912080E-01
+4.50394340E+01, +4.93214480E+00, +9.56230000E+01, +6.99935200E-02, +5.00926470E-01
+4.50399560E+01, +4.93213180E+00, +9.55730000E+01, +6.99909000E-02, +5.00912080E-01
+4.50385210E+01, +4.93215790E+00, +9.55850000E+01, +7.00013700E-02, +5.00909460E-01
+4.50400870E+01, +4.93217100E+00, +9.55760000E+01, +6.99935200E-02, +5.00914690E-01
+4.50415230E+01, +4.93214480E+00, +9.56990000E+01, +6.99765000E-02, +5.00914690E-01
+4.50403480E+01, +4.93214480E+00, +9.56290000E+01, +6.99882800E-02, +5.00918620E-01
+4.50407390E+01, +4.93230150E+00, +9.56640000E+01, +6.99974400E-02, +5.00909460E-01
+4.50403480E+01, +4.93231460E+00, +9.56330000E+01, +6.99987500E-02, +5.00912080E-01
+4.50408700E+01, +4.93223620E+00, +9.56040000E+01, +6.99922100E-02, +5.00923860E-01
+4.50394340E+01, +4.93204040E+00, +9.55700000E+01, +6.99895900E-02, +5.00902910E-01
+4.50404780E+01, +4.93218400E+00, +9.55630000E+01, +6.99909000E-02, +5.00929090E-01
+4.50385210E+01, +4.93209260E+00, +9.55130000E+01, +6.99856600E-02, +5.00917310E-01
+4.50399560E+01, +4.93188370E+00, +9.55410000E+01, +6.99817400E-02, +5.00912080E-01
+4.50398260E+01, +4.93211870E+00, +9.54650000E+01, +6.99935200E-02, +5.00914690E-01
+4.50407390E+01, +4.93221010E+00, +9.55370000E+01, +6.99895900E-02, +5.00923860E-01
+4.50413920E+01, +4.93211870E+00, +9.55270000E+01, +6.99909000E-02, +5.00916000E-01
+4.50398260E+01, +4.93210570E+00, +9.55150000E+01, +6.99869700E-02, +5.00913390E-01
+4.50403480E+01, +4.93192280E+00, +9.54580000E+01, +6.99804300E-02, +5.00916000E-01
+4.50395650E+01, +4.93215790E+00, +9.54480000E+01, +6.99895900E-02, +5.00919930E-01
+4.50411310E+01, +4.93204040E+00, +9.55080000E+01, +6.99817400E-02, +5.00922550E-01
+4.50394340E+01, +4.93209260E+00, +9.55220000E+01, +6.99882800E-02, +5.00919930E-01
+4.50398260E+01, +4.93215790E+00, +9.55310000E+01, +6.99922100E-02, +5.00912080E-01
+4.50407390E+01, +4.93196200E+00, +9.55660000E+01, +6.99765000E-02, +5.00910770E-01
+4.50394340E+01, +4.93205340E+00, +9.55980000E+01, +6.99843600E-02, +5.00925170E-01
+4.50413920E+01, +4.93201430E+00, +9.55550000E+01, +6.99778100E-02, +5.00917310E-01
+4.50394340E+01, +4.93194900E+00, +9.55900000E+01, +6.99791200E-02, +5.00916000E-01
+4.50403480E+01, +4.93179230E+00, +9.55870000E+01, +6.99869700E-02, +5.00917310E-01
